,MSOA11CD,Count
289,E02000297,5.0
290,E02000298,9.0
291,E02000299,5.0
292,E02000300,0.0
293,E02000301,0.0
294,E02000302,1.0
295,E02000303,1.0
296,E02000304,5.0
297,E02000305,5.0
298,E02000306,4.0
299,E02000307,1.0
300,E02000308,3.0
301,E02000309,2.0
302,E02000311,1.0
303,E02000312,8.0
304,E02000313,0.0
305,E02000314,0.0
306,E02000315,0.0
307,E02000316,6.0
308,E02000317,0.0
309,E02000318,4.0
310,E02000319,0.0
311,E02000320,0.0
312,E02000321,0.0
313,E02000323,8.0
314,E02000324,2.0
315,E02000326,1.0
316,E02000327,0.0
317,E02000328,2.0
318,E02000329,0.0
319,E02000331,0.0
320,E02000332,1.0
321,E02000333,2.0
322,E02000334,0.0
323,E02000335,5.0
324,E02000337,0.0
325,E02000339,3.0
326,E02000340,5.0
327,E02000341,0.0
328,E02000342,2.0
329,E02000343,0.0
330,E02000344,0.0
331,E02000345,1.0
332,E02000346,2.0
333,E02000347,0.0
334,E02000348,0.0
335,E02000350,4.0
336,E02000351,7.0
337,E02000352,2.0
338,E02000353,32.0
339,E02000354,4.0
340,E02000355,2.0
341,E02000356,3.0
342,E02000357,0.0
343,E02000358,20.0
344,E02000359,2.0
345,E02000360,7.0
346,E02000361,14.0
347,E02000362,4.0
348,E02000363,3.0
349,E02000364,2.0
350,E02000365,29.0
351,E02000366,5.0
352,E02000367,35.0
353,E02000368,5.0
354,E02000369,7.0
355,E02000370,6.0
356,E02000371,54.0
357,E02000372,2.0
358,E02000373,0.0
359,E02000374,1.0
360,E02000375,47.0
361,E02000376,18.0
362,E02000377,4.0
363,E02000378,7.0
364,E02000379,1.0
365,E02000380,4.0
366,E02000381,11.0
367,E02000382,32.0
368,E02000383,16.0
369,E02000384,36.0
370,E02000385,3.0
371,E02000386,14.0
372,E02000387,1.0
373,E02000388,14.0
374,E02000389,13.0
375,E02000390,4.0
376,E02000391,19.0
377,E02000392,26.0
378,E02000393,1.0
379,E02000394,1.0
380,E02000395,11.0
381,E02000396,2.0
382,E02000397,3.0
383,E02000398,0.0
384,E02000400,3.0
385,E02000401,0.0
386,E02000402,0.0
387,E02000403,4.0
388,E02000404,0.0
389,E02000405,3.0
390,E02000406,3.0
391,E02000407,6.0
392,E02000408,3.0
393,E02000409,0.0
394,E02000410,8.0
395,E02000411,0.0
396,E02000412,18.0
397,E02000413,4.0
398,E02000414,0.0
399,E02000415,3.0
400,E02000416,9.0
401,E02000417,10.0
402,E02000418,1.0
403,E02000419,16.0
404,E02000420,7.0
405,E02000421,10.0
406,E02000422,0.0
407,E02000423,11.0
408,E02000424,5.0
409,E02000425,0.0
410,E02000426,6.0
411,E02000427,8.0
412,E02000428,0.0
413,E02000429,0.0
414,E02000430,19.0
415,E02000431,6.0
416,E02000432,6.0
417,E02000433,9.0
418,E02000434,4.0
419,E02000435,0.0
420,E02000436,1.0
421,E02000437,2.0
422,E02000438,3.0
423,E02000439,1.0
424,E02000440,1.0
425,E02000441,0.0
426,E02000442,1.0
427,E02000443,4.0
428,E02000444,4.0
429,E02000445,6.0
430,E02000447,2.0
431,E02000448,10.0
432,E02000449,1.0
433,E02000451,5.0
434,E02000452,15.0
435,E02000453,4.0
436,E02000454,2.0
437,E02000455,12.0
438,E02000456,0.0
439,E02000457,4.0
440,E02000459,1.0
441,E02000460,1.0
442,E02000461,4.0
443,E02000462,5.0
444,E02000463,2.0
445,E02000464,0.0
446,E02000465,0.0
447,E02000466,0.0
448,E02000467,0.0
449,E02000468,0.0
450,E02000469,0.0
451,E02000470,4.0
452,E02000471,0.0
453,E02000472,0.0
454,E02000473,0.0
455,E02000474,0.0
456,E02000475,3.0
457,E02000476,19.0
458,E02000477,1.0
459,E02000478,1.0
460,E02000479,2.0
461,E02000480,1.0
462,E02000481,1.0
463,E02000482,0.0
464,E02000483,10.0
465,E02000484,0.0
466,E02000485,14.0
467,E02000486,0.0
468,E02000487,1.0
469,E02000488,0.0
470,E02000489,0.0
471,E02000490,0.0
472,E02000491,0.0
473,E02000492,0.0
474,E02000493,2.0
475,E02000494,0.0
476,E02000495,0.0
477,E02000496,0.0
478,E02000497,0.0
479,E02000498,0.0
480,E02000499,9.0
481,E02000500,17.0
482,E02000501,3.0
483,E02000502,1.0
484,E02000503,0.0
485,E02000504,2.0
486,E02000506,1.0
487,E02000507,1.0
488,E02000508,16.0
489,E02000509,10.0
490,E02000510,2.0
491,E02000511,1.0
492,E02000512,5.0
493,E02000513,1.0
494,E02000514,3.0
495,E02000515,1.0
496,E02000516,0.0
497,E02000517,0.0
498,E02000518,0.0
499,E02000519,0.0
500,E02000520,4.0
501,E02000521,1.0
502,E02000522,6.0
503,E02000523,3.0
504,E02000524,5.0
505,E02000525,4.0
506,E02000526,17.0
507,E02000528,2.0
508,E02000529,0.0
509,E02000530,0.0
510,E02000531,1.0
511,E02000532,2.0
512,E02000533,1.0
513,E02000534,4.0
514,E02000535,0.0
515,E02000536,4.0
516,E02000537,4.0
517,E02000538,7.0
518,E02000539,2.0
519,E02000540,8.0
520,E02000541,10.0
521,E02000542,6.0
522,E02000543,11.0
523,E02000544,0.0
524,E02000545,2.0
525,E02000546,2.0
526,E02000547,1.0
527,E02000548,3.0
528,E02000549,9.0
529,E02000550,1.0
530,E02000551,0.0
531,E02000552,1.0
532,E02000553,1.0
533,E02000554,0.0
534,E02000555,7.0
535,E02000556,24.0
536,E02000557,15.0
537,E02000558,7.0
538,E02000559,11.0
539,E02000560,17.0
540,E02000561,2.0
541,E02000562,3.0
542,E02000563,5.0
543,E02000564,12.0
544,E02000565,10.0
545,E02000566,26.0
546,E02000567,10.0
547,E02000568,6.0
548,E02000569,15.0
549,E02000570,26.0
550,E02000571,9.0
551,E02000572,5.0
552,E02000573,63.0
553,E02000574,37.0
554,E02000575,61.0
555,E02000576,40.0
556,E02000577,0.0
557,E02000578,0.0
558,E02000579,0.0
559,E02000580,1.0
560,E02000581,1.0
561,E02000582,10.0
562,E02000583,6.0
563,E02000584,30.0
564,E02000585,6.0
565,E02000586,39.0
566,E02000587,17.0
567,E02000588,56.0
568,E02000589,27.0
569,E02000590,31.0
570,E02000591,14.0
571,E02000592,35.0
572,E02000593,11.0
573,E02000594,21.0
574,E02000595,27.0
575,E02000596,22.0
576,E02000597,10.0
577,E02000598,0.0
578,E02000599,1.0
579,E02000600,3.0
580,E02000601,7.0
581,E02000602,7.0
582,E02000603,0.0
583,E02000604,16.0
584,E02000605,4.0
585,E02000606,37.0
586,E02000607,0.0
587,E02000608,14.0
588,E02000609,0.0
589,E02000610,5.0
590,E02000611,1.0
591,E02000612,0.0
592,E02000613,2.0
593,E02000614,4.0
594,E02000615,3.0
595,E02000616,0.0
596,E02000617,1.0
597,E02000619,6.0
598,E02000620,16.0
599,E02000621,13.0
600,E02000622,11.0
601,E02000623,7.0
602,E02000624,2.0
603,E02000625,5.0
604,E02000626,0.0
605,E02000627,4.0
606,E02000628,56.0
607,E02000629,24.0
608,E02000630,8.0
609,E02000631,4.0
610,E02000632,6.0
611,E02000633,13.0
612,E02000634,17.0
613,E02000635,14.0
614,E02000636,9.0
615,E02000637,8.0
616,E02000638,6.0
617,E02000639,0.0
618,E02000640,1.0
619,E02000641,1.0
620,E02000642,2.0
621,E02000643,3.0
622,E02000644,0.0
623,E02000645,0.0
624,E02000646,1.0
625,E02000647,0.0
626,E02000648,0.0
627,E02000649,0.0
628,E02000650,0.0
629,E02000651,0.0
630,E02000652,0.0
631,E02000653,3.0
632,E02000654,2.0
633,E02000655,1.0
634,E02000657,7.0
635,E02000658,5.0
636,E02000659,0.0
637,E02000660,7.0
638,E02000661,16.0
639,E02000662,0.0
640,E02000663,1.0
641,E02000664,20.0
642,E02000665,6.0
643,E02000666,1.0
644,E02000667,8.0
645,E02000668,2.0
646,E02000669,6.0
647,E02000670,5.0
648,E02000671,8.0
649,E02000672,8.0
650,E02000673,5.0
651,E02000674,0.0
652,E02000675,1.0
653,E02000676,0.0
654,E02000677,6.0
655,E02000678,0.0
656,E02000679,0.0
657,E02000680,0.0
658,E02000681,2.0
659,E02000682,0.0
660,E02000683,0.0
661,E02000685,1.0
662,E02000686,1.0
663,E02000687,4.0
664,E02000689,10.0
665,E02000690,0.0
666,E02000691,18.0
667,E02000692,20.0
668,E02000693,11.0
669,E02000694,10.0
670,E02000695,1.0
671,E02000696,4.0
672,E02000697,16.0
673,E02000698,0.0
674,E02000699,3.0
675,E02000700,1.0
676,E02000701,4.0
677,E02000702,0.0
678,E02000703,4.0
679,E02000704,9.0
680,E02000705,0.0
681,E02000706,1.0
682,E02000707,0.0
683,E02000708,4.0
684,E02000709,0.0
685,E02000710,2.0
686,E02000711,13.0
687,E02000712,1.0
688,E02000713,0.0
689,E02000714,2.0
690,E02000715,1.0
691,E02000716,1.0
692,E02000717,1.0
693,E02000718,0.0
694,E02000719,0.0
695,E02000720,1.0
696,E02000721,8.0
697,E02000722,0.0
698,E02000723,9.0
699,E02000724,3.0
700,E02000725,20.0
701,E02000726,30.0
702,E02000727,5.0
703,E02000728,0.0
704,E02000729,1.0
705,E02000730,3.0
706,E02000731,10.0
707,E02000732,1.0
708,E02000733,0.0
709,E02000734,1.0
710,E02000735,1.0
711,E02000736,0.0
712,E02000737,0.0
713,E02000738,0.0
714,E02000739,0.0
715,E02000740,0.0
716,E02000741,1.0
717,E02000742,2.0
718,E02000743,9.0
719,E02000744,5.0
720,E02000745,0.0
721,E02000746,3.0
722,E02000747,11.0
723,E02000748,1.0
724,E02000749,2.0
725,E02000750,2.0
726,E02000751,6.0
727,E02000752,0.0
728,E02000753,0.0
729,E02000754,3.0
730,E02000755,4.0
731,E02000756,2.0
732,E02000757,17.0
733,E02000758,0.0
734,E02000759,4.0
735,E02000760,3.0
736,E02000762,1.0
737,E02000763,0.0
738,E02000764,14.0
739,E02000765,5.0
740,E02000767,2.0
741,E02000768,0.0
742,E02000769,0.0
743,E02000770,0.0
744,E02000772,2.0
745,E02000773,1.0
746,E02000774,2.0
747,E02000776,2.0
748,E02000777,0.0
749,E02000779,5.0
750,E02000780,13.0
751,E02000781,0.0
752,E02000782,3.0
753,E02000783,0.0
754,E02000784,12.0
755,E02000785,13.0
756,E02000786,3.0
757,E02000787,1.0
758,E02000788,13.0
759,E02000789,5.0
760,E02000790,3.0
761,E02000791,41.0
762,E02000792,6.0
763,E02000793,4.0
764,E02000794,2.0
765,E02000795,1.0
766,E02000796,0.0
767,E02000797,30.0
768,E02000798,1.0
769,E02000799,2.0
770,E02000800,0.0
771,E02000801,4.0
772,E02000802,5.0
773,E02000803,0.0
774,E02000804,9.0
775,E02000805,2.0
776,E02000806,2.0
777,E02000807,3.0
778,E02000808,12.0
779,E02000809,9.0
780,E02000810,8.0
781,E02000812,0.0
782,E02000813,13.0
