,cluster_1_degree,edu_rate,lnhouseprice,rest_density,pop_density,workplace_density,under_density,market_density,bus_density
885,0.0,0.369,13.07001689703212,0.10805618921839355,117.240965301957,7.383839596590226,0.0,0.024012486492976347,0.20410613519029894
886,1.0,0.332,13.10724973959428,0.03556187766714082,176.6891891891892,6.756756756756756,0.0,0.0,0.19559032716927452
887,2.0,0.296,12.948009990259552,0.02289639381797367,58.946765884373214,5.981682884945622,0.0,0.017172295363480253,0.1316542644533486
888,1.0,0.281,12.936636027475542,0.03571428571428571,133.52380952380952,4.821428571428571,0.011904761904761904,0.011904761904761904,0.15476190476190477
889,1.0,0.316,12.999234829923179,0.030632562413845914,165.4464695971818,6.356256700873027,0.0,0.0,0.24506049931076732
890,3.0,0.575,13.62918097977278,0.08190618019359643,61.59344750558451,4.244229337304541,0.0,0.007446016381236038,0.08935219657483245
891,6.0,0.443,13.624664772949227,0.045448347952551926,70.42221515247921,5.294732536472299,0.009089669590510385,0.027269008771531156,0.14997954824342136
892,0.0,0.394,13.313396874800304,0.18103643358225843,183.48042543561894,6.788866259334691,0.0,0.0,0.13577732518669383
893,11.0,0.553,13.42984807715229,0.1489018488646234,143.36766348182155,11.912147909169871,0.0,0.03722546221615585,0.17371882367539396
894,1.0,0.5,13.407542319637992,0.3110419906687403,161.4307931570762,8.664741168629194,0.0,0.022217285047767165,0.22217285047767163
895,0.0,0.665,13.623138665316818,0.0826787928896238,88.63166597767672,6.717651922281934,0.0,0.010334849111202976,0.11368334022323273
896,0.0,0.335,13.109227478011189,0.0,185.53349875930522,4.4665012406947895,0.0,0.0,0.29776674937965264
897,11.0,0.654,13.509325013947933,0.38243276585245495,135.13446829509004,9.869232667160128,0.0,0.07401924500370095,0.22205773501110287
898,0.0,0.714,13.560618308335483,0.07540530350634662,122.16915923086592,5.781073268819908,0.0,0.0,0.07540530350634662
899,4.0,0.7,13.355457259571706,0.2358490566037736,77.00152983171851,9.752677205507394,0.012748597654258032,0.04462009178990311,0.21035186129525751
900,0.0,0.601,13.262125319779487,0.05582953382339258,84.03275332650972,5.257281101702801,0.0,0.02791476691169629,0.13026891225458267
901,3.0,0.634,13.473020249017498,0.19103413143148243,126.98675496688742,8.596535914416709,0.01273560876209883,0.06367804381049415,0.29291900152827305
