,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,area,rest_degree,pop_degree,income_degree,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree
0,E02000001,58.0,243.0,0.684,10938,65400,26500.0,517000.0,4.858553091,6.0,6.0,35.0,121.0,315.14,0.7710858665989719,34.708383575553725,207.5268134797233,84.08961096655455,1640.5407120644793,0.019039157199974614,0.019039157199974614,0.11106175033318526,0.38395633686615477
1,E02000002,0.0,0.0,0.182,7726,39000,240.0,1000.0,0.290854312,0.0,0.0,1.0,20.0,216.15,0.0,35.74369650705528,180.43025676613462,1.1103400416377516,4.626416840157298,0.0,0.0,0.004626416840157298,0.09252833680314596
2,E02000003,0.0,3.0,0.235,11246,47800,570.0,3500.0,6.985213308,0.0,0.0,2.0,18.0,214.15,0.014008872285780995,52.514592575297684,223.20803175344383,2.661685734298389,16.34368433341116,0.0,0.0,0.009339248190520663,0.08405323371468597
3,E02000004,0.0,0.0,0.179,6646,43700,170.0,1250.0,4.859534169,0.0,0.0,1.0,14.0,249.28,0.0,26.660783055198973,175.3048780487805,0.6819640564826701,5.014441591784339,0.0,0.0,0.004011553273427471,0.0561617458279846
4,E02000005,0.0,1.0,0.176,10540,44900,320.0,1250.0,1.901568913,0.0,0.0,3.0,11.0,118.81,0.0084167999326656,88.71307129029543,377.9143169766855,2.693375978452992,10.520999915832,0.0,0.0,0.0252503997979968,0.0925847992593216
5,E02000007,0.0,0.0,0.176,10076,38000,295.0,2000.0,2.892130766,0.0,0.0,2.0,17.0,173.58,0.0,58.048162230671736,218.91923032607443,1.6995045512155778,11.522064754003917,0.0,0.0,0.011522064754003917,0.09793755040903329
6,E02000008,0.0,0.0,0.162,12777,40900,355.0,1750.0,5.683316367,0.0,0.0,1.0,22.0,141.99,0.0,89.98521022607225,288.04845411648705,2.5001760687372347,12.324811606451158,0.0,0.0,0.0070427494894006615,0.15494048876681454
7,E02000009,0.0,1.0,0.196,11850,42300,385.0,1250.0,3.336063815,0.0,0.0,1.0,15.0,96.06,0.010410160316468874,123.36039975015615,440.34978138663337,4.007911721840516,13.012700395586092,0.0,0.0,0.010410160316468874,0.1561524047470331
8,E02000010,0.0,0.0,0.174,9141,40000,285.0,1750.0,6.075675371,0.0,0.0,0.0,9.0,112.12,0.0,81.52871922939707,356.76061362825544,2.54191937210132,15.608276846236175,0.0,0.0,0.0,0.08027113806635747
9,E02000011,0.0,0.0,0.195,7014,45000,300.0,4000.0,10.08453037,0.0,0.0,1.0,15.0,159.39,0.0,44.00527009222662,282.32636928289105,1.8821757952192737,25.095677269590315,0.0,0.0,0.006273919317397579,0.09410878976096368
10,E02000012,0.0,0.0,0.248,11375,46700,305.0,1250.0,0.873818505,0.0,0.0,1.0,13.0,130.03,0.0,87.47981235099593,359.1478889487041,2.345612550949781,9.613166192417134,0.0,0.0,0.007690532953933707,0.0999769284011382
11,E02000013,0.0,0.0,0.171,9009,39400,245.0,900.0,7.154867352,0.0,0.0,1.0,13.0,130.46,0.0,69.05564924114671,302.00827839950944,1.8779702590832439,6.898666257856814,0.0,0.0,0.007665184730952015,0.0996474015023762
12,E02000014,0.0,2.0,0.166,9966,39900,335.0,1500.0,3.451581596,0.0,0.0,2.0,18.0,119.27,0.016768676113020877,83.55831307118304,334.5350884547665,2.808753248930997,12.576507084765659,0.0,0.0,0.016768676113020877,0.1509180850171879
13,E02000015,0.0,1.0,0.18,8250,36400,235.0,700.0,5.093406692,0.0,0.0,1.0,19.0,136.18,0.00734322220590395,60.58158319870759,267.2932882949038,1.7256572183874284,5.140255544132765,0.0,0.0,0.00734322220590395,0.13952122191217506
14,E02000016,0.0,1.0,0.359,10320,48600,945.0,8000.0,8.514480092,0.0,0.0,5.0,20.0,91.27,0.010956502684343158,113.07110770242139,532.4860304590775,10.353895036704284,87.65202147474527,0.0,0.0,0.05478251342171579,0.21913005368686317
15,E02000017,0.0,5.0,0.297,9455,49900,365.0,1250.0,8.480535713,1.0,1.0,0.0,8.0,87.65,0.057045065601825436,107.87221905305191,569.3097547062179,4.164289788933257,14.261266400456359,0.011409013120365089,0.011409013120365089,0.0,0.09127210496292071
16,E02000018,0.0,0.0,0.183,9724,39500,280.0,800.0,14.6280507,0.0,0.0,2.0,17.0,135.78,0.0,71.6158491677714,290.91176903814994,2.0621593754603036,5.891883929886581,0.0,0.0,0.014729709824716454,0.12520253351008986
17,E02000019,0.0,1.0,0.199,9208,42200,380.0,5000.0,9.401226985,1.0,1.0,4.0,19.0,329.92,0.003031037827352085,27.909796314258,127.909796314258,1.1517943743937924,15.155189136760425,0.003031037827352085,0.003031037827352085,0.01212415130940834,0.05758971871968962
18,E02000020,0.0,1.0,0.241,13669,42500,790.0,7000.0,8.556915854,0.0,0.0,1.0,35.0,435.64,0.002295473326599945,31.376824901294647,97.55761638049766,1.8134239280139566,16.068313286199615,0.0,0.0,0.002295473326599945,0.08034156643099807
19,E02000021,0.0,2.0,0.209,9022,42300,265.0,5000.0,5.709854892,0.0,0.0,0.0,20.0,329.7,0.006066120715802245,27.364270548983924,128.2984531392175,0.8037609948437974,15.165301789505612,0.0,0.0,0.0,0.060661207158022444
20,E02000022,0.0,0.0,0.251,8030,44200,325.0,2250.0,8.472032329,0.0,0.0,1.0,11.0,79.67,0.0,100.79076189280784,554.7885025731141,4.079327224802309,28.241496171708295,0.0,0.0,0.012551776076314799,0.13806953683946277
21,E02000023,0.0,1.0,0.227,8053,42300,360.0,3000.0,2.942318494,0.0,0.0,0.0,22.0,174.52,0.005730002292000916,46.14370845748338,242.37909695163876,2.06280082512033,17.190006876002748,0.0,0.0,0.0,0.12606005042402016
22,E02000024,0.0,10.0,0.462,11094,60200,1085.0,6000.0,4.271523087,0.0,0.0,5.0,38.0,375.35,0.026641800985746634,29.556414013587318,160.38364193419474,2.89063540695351,15.98508059144798,0.0,0.0,0.013320900492873317,0.1012388437458372
23,E02000025,0.0,3.0,0.397,8395,55400,465.0,1750.0,5.012261349,0.0,0.0,0.0,18.0,240.19,0.012490111994670886,34.95149673175403,230.65073483492236,1.9359673591739872,7.285898663558017,0.0,0.0,0.0,0.07494067196802531
24,E02000026,0.0,0.0,0.396,6641,54900,305.0,900.0,7.325932569,0.0,0.0,0.0,11.0,146.59,0.0,45.30322668667713,374.5139504741115,2.080633058189508,6.139572958591991,0.0,0.0,0.0,0.07503922504945768
25,E02000027,0.0,0.0,0.284,9625,50100,300.0,5000.0,5.455417335,0.0,0.0,0.0,22.0,167.45,0.0,57.479844729770086,299.1937891908033,1.791579575992834,29.859659599880562,0.0,0.0,0.0,0.13138250223947448
