,id,category,longitude,latitude,general_category
70,Da5okvXnE1S2lIS1ibtM4Q,italian,-0.0999670028686523,51.5191993713379,Italian
71,l_Ukgez5NZWmI47B99x8pw,italian,-0.0846497,51.5208567,Italian
72,3G9TyoBLHikK87rqtFIqjA,italian,-0.101845,51.522216,Italian
73,7gCEoGMEXScCAPkIuJso6w,italian,-0.096165,51.523958,Italian
74,LpFTVwLnrpxytjjCKIIaIQ,italian,-0.080492497529698,51.524009094926,Italian
75,LKGqDrlf69r1JLAzxmpSmQ,italian,-0.0796812,51.5090541,Italian
76,Cju9mmB7-0WvbUk9qiGsbw,italian,-0.0855562,51.5187252,Italian
77,VP_2imJc6hk9sHqKFSnkqg,italian,-0.1018947,51.5228462,Italian
78,LqZQiDBsGGDzXjAnD7TkJg,italian,-0.0818580016493797,51.5203437805176,Italian
79,ctCpk7L8ZVEYO1QDTw7Nuw,italian,-0.101104873054902,51.5071361109298,Italian
80,Lm5icD0hhXyWYGiSXh5_IA,italian,-0.0869994167365665,51.5171671792677,Italian
81,9ANpf7BosRnYU0dMOsjAUA,italian,-0.0836344567048981,51.512749305608,Italian
82,5e0ZQJ5CJ0vaOYrEbk-vCA,italian,-0.10195670209799,51.522757225843,Italian
83,EdvQkc9zRUxmWF1oM4wkow,italian,-0.079224,51.518843,Italian
84,kFdXQVi2Lm2x7LmuS3sQew,italian,-0.1064085,51.5136523,Italian
85,2zimm2hTEkNpatOvBrgExg,italian,-0.107822000980377,51.5167808532715,Italian
86,TQYdStZGdy_llp6vbBki7w,french,-0.0904379,51.5133716,French
87,lrA0Xss9u0lwd4sfEyktmw,french,-0.0992694879514433,51.5132288926225,French
88,5-YH5TS_PEjNezuZgbhfhw,french,-0.0998749,51.5202437,French
89,FRMgD2uZKd-69ZWIPMoHqA,french,-0.086231,51.514705,French
90,Sf1u7eCFmf9E9B0agS1yXw,french,-0.1007171,51.5206234,French
91,2dxpByDCHnogrhaNAuffmQ,french,-0.091728,51.514912,French
92,jhXl6t-narNJ36B4SYKU4w,french,-0.101035305766373,51.513879857643,French
93,wty6NiDfPzwa1lo3dWuGOA,french,-0.1005095,51.5185384,French
94,mB89HRKJEAvpGXFDxAuz6g,french,-0.10763,51.51943,French
95,4sDpF5Twn-nvYl1h-cdlNQ,french,-0.0841030031442642,51.5152931213379,French
96,61M5VjKr5OHn5QRMb4DMbA,french,-0.100729,51.520634,French
97,bFPWaL-Wi5JcSDb7-ceCcw,french,-0.0841086,51.5128056,French
98,r6LGSCfIZ-8pa7cq6eoR-A,french,-0.0864108770966793,51.5145253299815,French
99,0LUShm0aerOxTLxK-XFZTQ,french,-0.1062015,51.522811,French
100,kGXC43j6WtJLxjjua2Bf9w,french,-0.0872619971632957,51.5136184692383,French
101,QNob29bqf22GgVo7ZmZaEg,french,-0.106917340475434,51.5194606679875,French
102,iu4h-vGKGXmFMhJwdpfexQ,french,-0.1037064,51.5191924,French
103,AyDH3j6yrUkZiPHSOOojHg,french,-0.103499,51.5192574,French
104,FFPZoTtwJaGaRlUkpXokcA,french,-0.10691,51.51928,French
105,bw--h7Ow9sWB03kbLbN6Lw,french,-0.106960255819672,51.5192804154901,French
106,q90paYr6rkjJ7_xcOu1oVg,french,-0.0791306610785347,51.5083110744197,French
107,QbNufBZBk0c9JG0TAB9DkA,french,-0.0804361,51.5104174,French
108,ylrlHx0eyaBDA9qSICY1HQ,spanish,-0.0877973,51.51297,European_Other
109,ZZWYsbwD8kkHUyiAKnVnAQ,spanish,-0.105176791548729,51.5210778192986,European_Other
110,cQrWlVTX_0LMrI53m-Ah-A,spanish,-0.08359,51.518924,European_Other
111,1KeK0DqDe93dzHm1LMoiNA,spanish,-0.083405,51.51269,European_Other
112,ALr-dmqoGd2KfnqGE7O8Gw,spanish,-0.083661,51.512882,European_Other
113,jTnrRxJp82iYjJVt8PPITQ,spanish,-0.0835872701958973,51.5118330704957,European_Other
114,QJ3F_ZdcvAfyUnLkEoGQng,spanish,-0.0993866,51.5243876,European_Other
115,zsLT_xm0wic25gugtfm1sw,spanish,-0.0843746697076508,51.5181950543948,European_Other
116,utRALTc6JCTWQ2HTPnmH7w,spanish,-0.0816555045794029,51.510981239674,European_Other
117,51Nq0e6afkefxTSepcE9Gw,spanish,-0.0799059,51.5112038,European_Other
118,5ocwwJ87gbxxL4OksSnr0w,portuguese,-0.083271497961901,51.524571530634,European_Other
119,rb3DTjC5mhEnjy-ay0AYUw,belgian,-0.103924836781924,51.5232408423047,European_Other
120,EFwQyq_qSoL_3A2oQWL6Ig,german,-0.0852677978367637,51.5172964975816,European_Other
121,o7PM_2GI50-9mlhQ_0WqyA,german,-0.084998,51.513202,European_Other
122,geQ7nECbljb9R2T-vzF-4w,scandinavian,-0.0921989,51.5125028,European_Other
123,p9TrMj3CyIQd-nywbZklZw,scandinavian,-0.0801978,51.5233338,European_Other
124,4cyauUryxXhbDTVvNKrifg,mediterranean,-0.0822509,51.5153535,Mediterranean
125,KBUt0sK8Ec3UjqOI4hzjJg,mediterranean,-0.0874923,51.5242658,Mediterranean
126,zqr54R-hh99HCPaujuLpXQ,mediterranean,-0.0929861,51.5228964,Mediterranean
127,mFPvCbJXpXmD50rHAT3zHQ,mediterranean,-0.089215,51.511342,Mediterranean
128,Jt5Svz8VpMFb_Uu5HF71vA,mediterranean,-0.0996197248070985,51.506589907032,Mediterranean
129,adqvTXUjetLm6igUytfebQ,mediterranean,-0.104091167449951,51.5142043887312,Mediterranean
131,pzXDnLg30LiseusI1Zjj3g,mediterranean,-0.0953701489409686,51.5081140585976,Mediterranean
132,Q4CNHjS0xHKAmhbxomO98A,mediterranean,-0.107436873016354,51.5144097860667,Mediterranean
133,qataXYDjcJkiiVX9nqfN8A,mediterranean,-0.0880819709062337,51.5187946211997,Mediterranean
134,RPnk4_xu3LZZEmkCjvpovA,mediterranean,-0.0936561,51.5238431,Mediterranean
135,tIfB4hNVr0aQC7BkYZYO7A,mediterranean,-0.0928,51.522898,Mediterranean
136,rt8zoh3oVKGA_Y-8zRhLuQ,mediterranean,-0.10161,51.513319,Mediterranean
137,k-60sbcMP8pCXtKuSd2SXg,mediterranean,-0.0796553,51.5180919,Mediterranean
139,seto9Xr1QdYKFlLlhqn2cw,kebab,-0.0820166,51.5217143,Mediterranean
140,BMxFIHCdKa6qB1ccY9Cbwg,turkish,-0.0965607,51.5152321,Mediterranean
141,csJKz-ud5RUwOXvaE-mt2A,turkish,-0.096210602811163,51.507789732069,Mediterranean
142,rsacuoluLxI-ZGSzCH6Oig,turkish,-0.0815471,51.5242449,Mediterranean
144,LpqU_VpUcSWS9WSJoCppRg,turkish,-0.079283987520637,51.515166089616,Mediterranean
145,LcVmgf4s3qIpBgZ-a_aTow,turkish,-0.0792861,51.5120457,Mediterranean
146,AqqAJvssWfxRO6FFqtwOSQ,pakistani,-0.1045077,51.5138467,Pakistani
147,BTSmL2Bku-UCCmBWgzpbQw,pakistani,-0.101969,51.5134374,Pakistani
148,bLSutiQRloDdw75-MV_2mg,pakistani,-0.1047813,51.516937,Pakistani
149,AHqL7YJdrwJLpuH6i_4qkQ,pakistani,-0.1024296,51.5245743,Pakistani
150,Qq6D-zmODDZi2-6cKft8uQ,pakistani,-0.0843177,51.511087,Pakistani
151,DhWflgiPpn_Fv1L-w1COvg,pakistani,-0.084114,51.509509,Pakistani
152,tjm5z6xHA-bo1feltSKS9A,pakistani,-0.104237,51.52328,Pakistani
153,9-77tm8TPVH76HPMgYvhGA,mideastern,-0.0989198684692383,51.5152326005808,Middle_Eastern
155,aMI4aAhVgFi5LwmpSXIgsw,mideastern,-0.0836705408241679,51.5189286012347,Middle_Eastern
156,YrDrbEUmcvaPEPYUvtceTw,mideastern,-0.102379,51.522324,Middle_Eastern
157,cGpMu58eTMG1KQOytCO-Cw,mideastern,-0.092740997672081,51.523120880127,Middle_Eastern
158,YlgDhSS5LKNTvcjDxftyCg,australian,-0.104616064804532,51.5236846374223,Other
159,8Ur9Eh_9Or_GgHCh1z69bQ,russian,-0.0981366,51.5206273,Other
160,jZJj43Yhyq4beYoj3Yq9tQ,chinese,-0.0910885585735369,51.5122170489017,Chinese
161,jwZY7UUeQq8mbPGsqUErIA,chinese,-0.0872926,51.522252,Chinese
162,ISF1JyJ364iNvtZ5TbU-QQ,chinese,-0.0947271451298062,51.5132754847804,Chinese
163,AwwZIdmScSHhM54Wh8P8JQ,chinese,-0.1053698,51.5135092,Chinese
